Model,Accuracy,Precision,Recall,F1 Score,Train_Time_Sec,Pred_Time_Sec,TN,FP,FN,TP
Logistic Regression,0.9709583736689256,0.8482758620689655,0.9389312977099236,0.8913043478260869,0.0143873691558837,0.0,880,22,8,123
Naive Bayes,0.9719264278799612,0.9903846153846154,0.7862595419847328,0.8765957446808511,0.0010347366333007,0.0,901,1,28,103
SVM,0.9806389157792836,0.9111111111111112,0.9389312977099236,0.924812030075188,1.4275548458099363,0.0480110645294189,890,12,8,123
LSTM,0.9796708615682478,0.9230769230769231,0.916030534351145,0.9195402298850575,20.836633920669556,0.4414334297180176,892,10,11,120
